wl,ref_1,GaAs_1,wl_bg,bg_1,ref_2,GaAs_2,bg_2
705.14,3.21172,-0.01984,705.14,-0.017866,3.197574,-0.033328,-0.018195
705.16,3.210733,-0.009642,705.16,-0.01655,3.197245,-0.015563,-0.016879
705.18,3.205469,-0.015892,705.18,-0.015563,3.196587,-0.011945,-0.018195
705.2,3.206456,-0.022801,705.2,-0.014247,3.192639,-0.019511,-0.018524
705.22,3.204482,-0.012931,705.22,-0.009971,3.197245,-0.008984,-0.008655
705.24,3.205798,-0.017208,705.24,-0.024117,3.188362,-0.009313,-0.01655
705.26,3.207114,-0.003062,705.26,-0.026091,3.198889,-0.010629,-0.011616
705.28,3.20843,-0.014576,705.28,-0.010958,3.18902,-0.015234,-0.017208
705.3,3.209417,-0.018524,705.3,-0.01984,3.195929,-0.030367,-0.01984
705.32,3.200534,-0.017537,705.32,-0.018524,3.20843,-0.007997,-0.0103
705.34,3.210404,-0.014247,705.34,-0.046487,3.181783,-0.01326,-0.012931
705.36,3.205469,-0.016879,705.36,-0.015234,3.1956,-0.008984,-0.01655
705.38,3.205798,-0.01326,705.38,-0.013589,3.197903,-0.007339,-0.011287
705.4,3.205798,-0.023788,705.4,-0.018195,3.194613,-0.012602,-0.018524
705.42,3.210404,-0.022472,705.42,-0.018853,3.196916,-0.007997,-0.013918
705.44,3.211062,-0.022143,705.44,-0.012274,3.199876,-0.006352,-0.011616
705.46,3.203824,-0.017537,705.46,-0.01655,3.198232,-0.014576,-0.023788
705.48,3.202508,-0.017208,705.48,-0.014576,3.195271,-0.010629,-0.013589
705.5,3.208101,-0.017208,705.5,-0.013589,3.190994,-0.01326,-0.023788
705.52,3.205469,-0.020498,705.52,-0.023788,3.203495,-0.009642,-0.014905
705.54,3.20843,-0.015563,705.54,-0.053067,3.199218,-0.032341,-0.010629
705.56,3.203824,-0.011287,705.56,-0.027078,3.198561,-0.0103,-0.019182
705.58,3.206127,-0.013918,705.58,-0.017866,3.200205,-0.03925,-0.012602
705.6,3.204482,-0.01655,705.6,-0.015892,3.196258,-0.010629,-0.020169
705.62,3.205798,-0.014247,705.62,-0.01655,3.196258,-0.01984,-0.014247
705.64,3.204482,-0.015563,705.64,-0.014905,3.190994,-0.007997,-0.015234
705.66,3.207772,-0.020827,705.66,-0.015892,3.196916,-0.01655,-0.012274
705.68,3.204153,-0.024446,705.68,-0.033328,3.196258,-0.006352,-0.020169
705.7,3.204482,-0.014905,705.7,-0.012274,3.198561,-0.009971,-0.012602
705.72,3.204153,-0.015563,705.72,-0.017537,3.191981,-0.009642,-0.023788
705.74,3.204811,-0.014905,705.74,-0.020169,3.194942,-0.020169,-0.0103
705.76,3.20185,-0.014247,705.76,-0.015234,3.193626,-0.027407,-0.025762
705.78,3.206127,-0.005036,705.78,-0.009642,3.193955,-0.007668,-0.013918
705.8,3.204482,-0.015234,705.8,-0.011616,3.196258,-0.014247,-0.022472
705.82,3.202179,-0.013589,705.82,-0.01984,3.197903,-0.01655,-0.009313
705.84,3.204811,-0.012602,705.84,-0.018524,3.196258,-0.008326,-0.023788
705.86,3.201192,-0.020827,705.86,-0.012931,3.194942,-0.012602,-0.030696
705.88,3.204811,-0.01984,705.88,-0.0103,3.194613,-0.0103,-0.02313
705.9,3.204811,-0.063265,705.9,-0.013918,3.193955,-0.01326,-0.004707
705.92,3.199876,-0.017537,705.92,-0.016221,3.192639,-0.020169,-0.021156
705.94,3.206127,-0.017866,705.94,-0.027078,3.191323,-0.005694,-0.01655
705.96,3.204811,-0.015234,705.96,-0.013589,3.194942,-0.005365,-0.017866
705.98,3.207114,-0.012931,705.98,-0.015234,3.204482,-0.010629,-0.018524
706,3.208759,-0.019511,706,-0.012931,3.194284,-0.013589,-0.02313
706.02,3.204482,-0.02313,706.02,-0.018853,3.198889,-0.009971,-0.017208
706.04,3.20843,-0.020498,706.04,-0.025762,3.196258,-0.009642,-0.022472
706.06,3.20843,-0.019511,706.06,-0.021156,3.193626,-0.014247,-0.01655
706.08,3.203495,-0.017208,706.08,-0.01655,3.193626,-0.008655,-0.012602
706.1,3.20185,-0.01655,706.1,-0.015563,3.193955,-0.004049,-0.011616
706.12,3.206785,-0.020169,706.12,-0.027407,3.190665,-0.014576,-0.020827
706.14,3.206456,-0.018853,706.14,-0.013918,3.190665,-0.003391,-0.020827
706.16,3.209088,-0.02313,706.16,-0.015892,3.189349,-0.012602,-0.014576
706.18,3.203824,-0.002733,706.18,-0.015234,3.169281,-0.010958,-0.020169
706.2,3.204482,-0.015234,706.2,-0.013589,3.189678,-0.016879,-0.016879
706.22,3.208759,-0.01984,706.22,-0.013589,3.1956,-0.005694,-0.016221
706.24,3.197245,-0.012602,706.24,-0.020827,3.199876,-0.011616,-0.018524
706.26,3.20185,-0.011945,706.26,-0.012931,3.197903,-0.0103,-0.010629
706.28,3.204482,-0.017208,706.28,-0.011616,3.196258,-0.031025,-0.047145
706.3,3.205798,-0.017208,706.3,-0.010958,3.194613,-0.017537,-0.01655
706.32,3.208101,-0.01984,706.32,-0.017537,3.193955,-0.012602,-0.016221
706.34,3.206127,-0.017537,706.34,-0.013589,3.199547,-0.010629,-0.011616
706.36,3.208101,-0.025104,706.36,-0.018853,3.194284,-0.009971,-0.017208
