wl,hg_1,hg_2,bg_1,bg_2
309.24,0.007794,0.007794,0.007465,0.004504
309.26,0.00582,0.00582,0.008123,0.002202
309.28,0.010426,0.007465,0.006149,0.005491
309.3,0.010097,0.008781,0.006149,0.006149
309.32,0.007136,0.00582,0.007465,0.004175
309.34,0.00911,0.007465,0.007465,0.004504
309.36,0.009768,0.007136,0.007465,0.004175
309.38,0.007136,0.010426,0.003189,0.00286
309.4,0.010755,0.006149,0.006149,0.006807
309.42,0.011742,0.006149,0.007794,0.005491
309.44,0.011742,0.006478,0.008781,0.004833
309.46,0.00911,0.008123,0.009439,0.001873
309.48,0.010755,0.010097,0.006478,0.002202
309.5,0.012071,0.005162,0.007794,0.003517
309.52,0.010755,0.005491,0.007465,0.003846
309.54,0.010755,0.00911,0.007136,0.008781
309.56,0.008123,0.006149,0.012071,0.004504
309.58,0.011413,0.006149,0.010097,0.004833
309.6,0.00911,0.00582,0.006149,0.008123
309.62,0.014045,0.00582,0.008452,0.004833
309.64,0.011084,0.005162,0.007794,0.005162
309.66,0.011084,0.006478,0.009439,0.004833
309.68,0.009768,0.006149,0.007794,0.003517
309.7,0.009439,0.004175,0.008452,0.003846
309.72,0.007465,0.007465,0.008781,0.005162
309.74,0.010755,0.005491,0.010755,0.004175
309.76,0.009768,0.005162,0.006478,0.007136
309.78,0.011084,0.004833,0.008452,0.004833
309.8,0.011084,0.004175,0.00911,0.002531
309.82,0.009768,0.009768,0.009439,0.003517
309.84,0.007136,0.005491,0.009768,0.004833
309.86,0.010426,0.00286,0.007465,0.004833
309.88,0.011084,0.007136,0.008452,0.006478
309.9,0.014374,0.006807,0.010755,0.002202
309.92,0.00582,0.008123,0.009768,0.00286
309.94,0.010097,0.00582,0.007794,0.004504
309.96,0.0124,0.006807,0.007794,0.005162
309.98,0.011084,0.003846,0.008452,0.002202
310,0.011413,0.004175,0.00911,0.004833
310.02,0.009439,0.00286,0.006149,0.006478
310.04,0.010426,0.006149,0.009768,0.00582
310.06,0.009439,0.004504,0.00911,0.004504
310.08,0.011413,0.004833,0.009439,0.005491
310.1,0.011084,0.004833,0.007794,0.004175
310.12,0.008452,0.007794,0.007794,0.003846
310.14,0.008123,0.007465,0.010426,0.00582
310.16,0.00911,0.007136,0.007794,0.00582
310.18,0.011413,0.005491,0.009439,0.005491
310.2,0.009768,0.007465,0.010097,0.00582
310.22,0.008781,0.005491,0.010426,0.006807
310.24,0.011742,0.006807,0.010097,0.003517
310.26,0.009439,0.004504,0.008452,0.007136
310.28,0.00911,0.004175,0.006807,0.007136
310.3,0.010755,0.007465,0.010097,0.004504
310.32,0.00911,0.008781,0.010097,0.005162
310.34,0.007136,0.004504,0.00911,0.00582
310.36,0.007136,0.002531,0.010426,0.005162
310.38,0.007794,0.008452,0.008452,0.005162
310.4,0.010755,0.005162,0.008781,0.004833
310.42,0.008452,0.004833,0.009439,0.003846
310.44,0.011413,0.007794,0.007465,0.003517
310.46,0.010097,0.007136,0.007465,0.010426
310.48,0.010097,0.007465,0.009768,0.005491
310.5,0.010426,0.011084,0.007465,0.003189
310.52,0.010426,0.007794,0.008452,0.006149
310.54,0.00911,0.00582,0.009768,0.006807
310.56,0.009768,0.007794,0.011742,0.006149
310.58,0.00911,0.00582,0.010097,0.002202
310.6,0.010097,0.00582,0.010097,0.005491
310.62,0.007465,0.00911,0.008781,0.006478
310.64,0.010426,0.003846,0.008781,0.004504
310.66,0.010755,0.007794,0.009439,0.003517
310.68,0.008781,0.005491,0.008781,0.004175
310.7,0.010755,0.007465,0.009439,0.004833
310.72,0.009768,0.007465,0.006478,0.004175
310.74,0.009439,0.010097,0.009768,0.001215
310.76,0.010097,0.008123,0.010755,0.004833
310.78,0.009768,0.006478,0.008123,0.005162
310.8,0.007794,0.006807,0.008781,0.003517
310.82,0.009439,0.007136,0.008781,0.003517
310.84,0.010426,0.003846,0.008123,0.004504
310.86,0.011413,0.00582,0.010097,0.004175
310.88,0.01898,0.004833,0.008452,0.007465
310.9,0.019966,0.004833,0.009439,0.004175
310.92,0.019966,0.003517,0.007465,0.005491
310.94,0.023585,0.006149,0.008781,0.004175
