wl_1,ref_1_ND64,wl_2,ref_2_ND64,wl_3,ref_3_ND64,Cu2O_1_77K_ND4,Cu2O_2_77K_ND1,Cu2O_3_77K_ND4,Cu2O_1_150K_ND4,Cu2O_1_296K_ND4,BG_23_ND64,BG_1_ND4
403.52,0.042995,568.8,0.704335,618.8,0.776623,-0.029709,0.463091,0.999782,-0.02313,-0.025433,,-0.054054
403.54,0.045956,568.85,0.702498,618.85,0.776147,-0.030038,0.46223,0.999819,-0.022801,-0.028064,,-0.046816
403.56,0.045956,568.9,0.704959,618.9,0.775597,-0.030038,0.464836,0.999926,-0.034315,-0.028722,,-0.048132
403.58,0.044311,568.95,0.705282,618.95,0.775339,-0.02938,0.464617,1.000147,-0.023459,-0.027736,,-0.063265
403.6,0.048259,569,0.705219,619,0.776031,-0.027736,0.467138,0.998547,-0.034644,-0.028393,,-0.046487
403.62,0.051877,569.05,0.704201,619.05,0.77511,-0.027736,0.465599,0.998153,-0.022143,-0.028064,,-0.048132
403.64,0.048259,569.1,0.70408,619.1,0.774771,-0.031025,0.466238,1.000669,-0.025433,-0.024117,,-0.046487
403.66,0.035757,569.15,0.70584,619.15,0.775355,-0.028393,0.467796,0.99959,-0.020498,-0.040237,,-0.048132
403.68,0.049904,569.2,0.705327,619.2,0.775071,-0.026091,0.466244,1.000924,-0.021156,-0.028722,,-0.049119
403.7,0.052535,569.25,0.705803,619.25,0.775157,-0.028064,0.466715,0.999776,-0.021485,-0.036618,,-0.046816
403.72,0.045298,569.3,0.704656,619.3,0.775084,-0.032012,0.467196,1.000792,-0.021814,-0.030367,,-0.038921
403.74,0.030165,569.35,0.705696,619.35,0.775647,-0.027407,0.467767,1.000408,-0.020498,-0.023788,,-0.047803
403.76,0.04793,569.4,0.704006,619.4,0.774957,-0.050435,0.46782,1.001637,-0.025433,-0.032341,,-0.044842
403.78,0.050233,569.45,0.704603,619.45,0.7747,-0.023459,0.470939,1.002653,-0.023459,-0.02642,,-0.047145
403.8,0.032797,569.5,0.703108,619.5,0.775039,-0.02642,0.470568,1.00124,-0.024446,-0.025762,,-0.046158
403.82,0.05089,569.55,0.705598,619.55,0.776863,-0.025762,0.471336,1.002132,-0.022801,-0.027736,,-0.045171
403.84,0.050561,569.6,0.704506,619.6,0.774923,-0.036289,0.471531,1.001706,-0.019182,-0.028064,,-0.04879
403.86,0.049575,569.65,0.704461,619.65,0.777129,-0.028393,0.469683,1.003045,-0.024117,-0.025104,,-0.0455
