t_ref,V_ref,t_unf,V_unf
-281.25,0.335366312,-70.3125,1.187967843
-281.171875,0.335705454,-70.29296875,1.183898146
-281.09375,0.336722878,-70.2734375,1.198481227
-281.015625,0.336722878,-70.25390625,1.199837793
-280.9375,0.33706202,-70.234375,1.195428954
-280.859375,0.337740302,-70.21484375,1.190002692
-280.78125,0.338418585,-70.1953125,1.191698399
-280.703125,0.338757727,-70.17578125,1.195768096
-280.625,0.338757727,-70.15625,1.193054964
-280.546875,0.339436009,-70.13671875,1.193054964
-280.46875,0.340114292,-70.1171875,1.19441153
-280.390625,0.339096868,-70.09765625,1.193394106
-280.3125,0.341131717,-70.078125,1.19441153
-280.234375,0.340792575,-70.05859375,1.195768096
-280.15625,0.340453434,-70.0390625,1.197463803
-280.078125,0.341470858,-70.01953125,1.191020116
-280,0.342827424,-70,1.187628702
-279.921875,0.342827424,-69.98046875,1.183559005
-279.84375,0.342827424,-69.9609375,1.198142086
-279.765625,0.342827424,-69.94140625,1.19441153
-279.6875,0.342827424,-69.921875,1.191698399
-279.609375,0.343505707,-69.90234375,1.189324409
-279.53125,0.344523131,-69.8828125,1.191359257
-279.453125,0.344183989,-69.86328125,1.19203754
-279.375,0.344862272,-69.84375,1.191359257
-279.296875,0.344523131,-69.82421875,1.190341833
-279.21875,0.344862272,-69.8046875,1.193733247
-279.140625,0.345879696,-69.78515625,1.193054964
-279.0625,0.346897121,-69.765625,1.196446379
-278.984375,0.346557979,-69.74609375,1.197124661
-278.90625,0.346897121,-69.7265625,1.195768096
-278.828125,0.347236262,-69.70703125,1.190680974
-278.75,0.347575404,-69.6875,1.188985267
-278.671875,0.348253686,-69.66796875,1.192715823
-278.59375,0.348253686,-69.6484375,1.195089813
-278.515625,0.348931969,-69.62890625,1.194750671
-278.4375,0.349610252,-69.609375,1.19441153
-278.359375,0.349271111,-69.58984375,1.188646126
-278.28125,0.349949394,-69.5703125,1.179489308
-278.203125,0.350627676,-69.55078125,1.200176934
-278.125,0.350627676,-69.53125,1.19915951
-278.046875,0.350627676,-69.51171875,1.190680974
-277.96875,0.351984242,-69.4921875,1.191020116
-277.890625,0.351645101,-69.47265625,1.185932995
-277.8125,0.351984242,-69.453125,1.194750671
-277.734375,0.352323383,-69.43359375,1.193394106
-277.65625,0.353340808,-69.4140625,1.188985267
-277.578125,0.353340808,-69.39453125,1.189324409
-277.5,0.354358232,-69.375,1.192715823
-277.421875,0.354019091,-69.35546875,1.188646126
-277.34375,0.354019091,-69.3359375,1.187628702
-277.265625,0.355036515,-69.31640625,1.184237287
-277.1875,0.355036515,-69.296875,1.190341833
-277.109375,0.355375656,-69.27734375,1.184576429
-277.03125,0.356053939,-69.2578125,1.191359257
-276.953125,0.356732222,-69.23828125,1.194072389
-276.875,0.356393081,-69.21875,1.188306984
-276.796875,0.357071363,-69.19921875,1.187967843
-276.71875,0.357749646,-69.1796875,1.181863297
-276.640625,0.358088788,-69.16015625,1.177115318
-276.5625,0.358427929,-69.140625,1.193733247
-276.484375,0.358427929,-69.12109375,1.191020116
-276.40625,0.359106212,-69.1015625,1.180506732
-276.328125,0.358427929,-69.08203125,1.188646126
-276.25,0.359445353,-69.0625,1.186950419
-276.171875,0.359784495,-69.04296875,1.18491557
-276.09375,0.359784495,-69.0234375,1.186950419
-276.015625,0.360801919,-69.00390625,1.182202439
-275.9375,0.361480202,-68.984375,1.186950419
-275.859375,0.360801919,-68.96484375,1.191359257
-275.78125,0.361480202,-68.9453125,1.183219863
-275.703125,0.36114106,-68.92578125,1.179489308
-275.625,0.361819343,-68.90625,1.187628702
-275.546875,0.362497626,-68.88671875,1.183219863
-275.46875,0.362497626,-68.8671875,1.1777936
-275.390625,0.364193333,-68.84765625,1.187967843
-275.3125,0.362836767,-68.828125,1.19678552
-275.234375,0.363175909,-68.80859375,1.185593853
