TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/12/20
TIME	15:25:33
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	550.0000
LASTX	350.0000
NPOINTS	1001
FIRSTY	-0.00013
MAXY	0.00033
MINY	-0.00059
XYDATA
389.8000	8.00002E-005
389.6000	-4.00002E-005
389.4000	0.00022
389.2000	6.99998E-005
389.0000	-0.00036
388.8000	-0.00037
388.6000	-3.99999E-005
388.4000	5.00002E-005
388.2000	-0.00017
388.0000	-0.00022
387.8000	-0.00033
387.6000	-5.00002E-005
387.4000	0.00032
387.2000	-9.99998E-005
387.0000	-0.00034
386.8000	0.00015
386.6000	0.00027
386.4000	-0.00013
386.2000	-0.00022
386.0000	-0.00019
385.8000	-0.00041
385.6000	-0.00033
385.4000	7.00001E-005
385.2000	0.00016
385.0000	-0.00029
384.8000	-0.00022
384.6000	0.00033
384.4000	0.00018
384.2000	-0.00026
384.0000	-0.00045
383.8000	-0.00015
383.6000	0.00015
383.4000	-0.00017
383.2000	-0.00013
383.0000	8.00001E-005
382.8000	-3E-005
382.6000	-0.00035
382.4000	-0.00027
382.2000	-2.99999E-005
382.0000	-0.00016
381.8000	-5.99998E-005
381.6000	-0.0001
381.4000	-8.99999E-005
381.2000	-0.00011
381.0000	-0.00029
380.8000	-0.00049
380.6000	-0.00017
380.4000	3.99998E-005
380.2000	3.99999E-005
380.0000	-3.00001E-005
379.8000	-0.00022
379.6000	-0.0001
379.4000	-0.00025
379.2000	-0.00012
379.0000	-0.0002
378.8000	-0.00043
378.6000	-0.00027
378.4000	-0.0001
378.2000	-0.0001
378.0000	-6.99999E-005
377.8000	-3.00002E-005
377.6000	-6.99998E-005
377.4000	-0.00012
377.2000	-0.00013
377.0000	-0.00018
376.8000	-0.00017
376.6000	3.00001E-005
376.4000	7.99999E-005
376.2000	9.99994E-006
376.0000	-6.99999E-005
375.8000	-0.00018
375.6000	-0.0001
375.4000	-0.00027
375.2000	-0.0004
375.0000	-0.0002
374.8000	6.99999E-005
374.6000	-9.99977E-006
374.4000	-0.00032
374.2000	-6.99999E-005
374.0000	0.00016
373.8000	3.00001E-005
373.6000	-0.00011
373.4000	-0.00011
373.2000	-0.00034
373.0000	-0.0004
372.8000	2.04295E-010
372.6000	0.00019
372.4000	2.99999E-005
372.2000	-0.00015
372.0000	-0.00049
371.8000	-0.00056
371.6000	-0.00034
371.4000	-0.00018
371.2000	-5.99998E-005
371.0000	-0.00032
370.8000	-0.00032
370.6000	-0.00014
370.4000	-0.00012
370.2000	-0.00019
370.0000	-0.00027
369.8000	-0.00016
369.6000	2.00004E-005
369.4000	-0.00021
369.2000	-0.0004
369.0000	-0.00024
368.8000	-2.99998E-005
368.6000	-0.00014
368.4000	2E-005
368.2000	-3.00001E-005
368.0000	2.00001E-005
367.8000	-5.00003E-005
367.6000	-0.0002
367.4000	-5.99996E-005
367.2000	2.00004E-005
367.0000	9.00004E-005
366.8000	-8.00002E-005
366.6000	-0.00034
366.4000	-0.00041
366.2000	-0.00035
366.0000	-0.00041
365.8000	-0.00021
365.6000	-2.00001E-005
365.4000	-0.00024
365.2000	-0.00057
365.0000	-0.00055
364.8000	-4.4018E-010
364.6000	0.00012
364.4000	-0.00024
364.2000	-0.00014
364.0000	0.00017
363.8000	-0.0002
363.6000	-0.00032
363.4000	-9.99998E-005
363.2000	-0.00016
363.0000	-0.00023
362.8000	-0.00028
362.6000	-2.99996E-005
362.4000	-6.99998E-005
362.2000	-8.00001E-005
362.0000	-0.00013
361.8000	-0.0002
361.6000	-2.52724E-010
361.4000	-0.00016
361.2000	-0.00036
361.0000	-0.00033
360.8000	-4.00004E-005
360.6000	7.00004E-005
360.4000	5E-005
360.2000	0.00017
360.0000	-5.00005E-005
359.8000	-0.00043
359.6000	-0.0004
359.4000	-0.00039
359.2000	-0.00021
359.0000	-6.00003E-005
358.8000	-0.00011
358.6000	0.00014
358.4000	0.00026
358.2000	0.00018
358.0000	0.00013
357.8000	-0.00013
357.6000	-0.00053
357.4000	-0.00049
357.2000	-0.00017
357.0000	7.99996E-005
356.8000	-3.99999E-005
356.6000	-0.00016
356.4000	0.00017
356.2000	0.00013
356.0000	-0.00027
355.8000	-0.00035
355.6000	-0.00035
355.4000	-0.00017
355.2000	4.00001E-005
355.0000	-9.99976E-006
354.8000	-2.99999E-005
354.6000	-0.00025
354.4000	-0.00045
354.2000	-6.99997E-005
354.0000	0.00012
353.8000	-0.00021
353.6000	-0.00023
353.4000	-0.00021
353.2000	-0.00011
353.0000	9.00004E-005
352.8000	-0.00018
352.6000	-0.00026
352.4000	-0.00024
352.2000	-0.00016
352.0000	-0.00016
351.8000	-0.00027
351.6000	-0.00022
351.4000	-7.99997E-005
351.2000	5E-005
351.0000	-2.99998E-005
350.8000	-0.00013
350.6000	-0.00016
350.4000	-0.00038
350.2000	-0.00051
350.0000	-0.0002
