wl,baseline,buffer,gfp,yfp,lysozyme
490.6,-0.00229,-0.00027,0.03798,0.09428,0.02446
490.4,-0.00247,-0.00022,0.03856,0.09412,0.02467
490.2,-0.00249,-0.00021,0.03893,0.09398,0.02469
490,-0.0024,-0.00018,0.03914,0.09362,0.02458
489.8,-0.0026,-0.0001,0.03958,0.09359,0.02473
489.6,-0.00268,-9.00E-05,0.0398,0.09356,0.02482
489.4,-0.00248,-0.00036,0.03976,0.09353,0.02456
489.2,-0.00244,-0.00035,0.04016,0.09333,0.02423
489,-0.00261,8.32E-11,0.04059,0.09325,0.0243
488.8,-0.00269,1.00E-05,0.04084,0.09329,0.02454
488.6,-0.00253,-0.00029,0.04098,0.09302,0.02429
488.4,-0.00245,-0.0003,0.04113,0.09291,0.02436
488.2,-0.00268,-4.00E-05,0.04167,0.09296,0.02462
488,-0.00275,-0.00011,0.04187,0.09265,0.02454
487.8,-0.00277,-9.54E-11,0.04216,0.0927,0.02451
487.6,-0.00261,-0.00012,0.04231,0.0927,0.02444
487.4,-0.00244,-0.00043,0.0423,0.0922,0.02436
487.2,-0.00257,-0.00024,0.04294,0.0923,0.02414
487,-0.00267,-7.00E-05,0.04315,0.09222,0.02411
486.8,-0.00259,-9.00E-05,0.04323,0.09185,0.02424
486.6,-0.0026,-0.00013,0.04362,0.09202,0.02423
486.4,-0.00272,-0.00011,0.0437,0.09211,0.02423
486.2,-0.00266,-0.00011,0.04389,0.09196,0.02414
486,-0.00271,-4.00E-05,0.04451,0.09191,0.02425
485.8,-0.00261,-0.00022,0.04458,0.09175,0.02435
485.6,-0.00242,-0.00026,0.04447,0.09133,0.02408
485.4,-0.00263,-8.00E-05,0.04502,0.09138,0.02427
485.2,-0.0028,-0.00018,0.04551,0.09174,0.02442
485,-0.00279,-5.00E-05,0.04569,0.09186,0.02433
484.8,-0.00271,-0.00011,0.0457,0.0915,0.02426
484.6,-0.00264,-0.00039,0.04583,0.09109,0.02397
484.4,-0.00275,-0.00025,0.04621,0.09135,0.02418
484.2,-0.00282,2.00E-05,0.04657,0.09132,0.02436
484,-0.00281,-0.00012,0.04678,0.09108,0.02415
483.8,-0.00265,-0.00043,0.04648,0.091,0.02391
483.6,-0.00282,-0.00018,0.04693,0.09124,0.02406
483.4,-0.0029,0.00012,0.0474,0.09111,0.02434
483.2,-0.00272,-4.00E-05,0.04727,0.09075,0.02421
483,-0.0028,-0.00027,0.04762,0.09089,0.02407
482.8,-0.00283,-0.00023,0.04784,0.0908,0.02402
482.6,-0.00283,1.00E-05,0.04802,0.09066,0.02391
482.4,-0.00282,-9.00E-05,0.0481,0.09058,0.02383
482.2,-0.00291,-2.00E-05,0.04824,0.09063,0.02401
482,-0.00288,-8.00E-05,0.04849,0.09042,0.02413
481.8,-0.00277,-0.00034,0.04863,0.09025,0.02407
481.6,-0.00279,-0.0003,0.04877,0.09017,0.02378
481.4,-0.0029,-6.00E-05,0.04892,0.09014,0.02365
481.2,-0.00291,-4.00E-05,0.04902,0.09019,0.02396
481,-0.00294,-9.00E-05,0.04917,0.09008,0.02406
480.8,-0.0029,3.00E-05,0.04933,0.0899,0.02388
480.6,-0.00291,-8.00E-05,0.04946,0.0898,0.02391
480.4,-0.00311,-6.77E-11,0.04972,0.0899,0.02382
480.2,-0.00304,-1.00E-05,0.04993,0.0897,0.02388
480,-0.00284,-0.00026,0.04981,0.08947,0.02374
479.8,-0.00299,-9.00E-05,0.05016,0.08949,0.0237
479.6,-0.00301,-0.00014,0.05037,0.08937,0.02381
479.4,-0.00288,-0.00038,0.05014,0.08917,0.02368
479.2,-0.00284,-0.00029,0.0503,0.08898,0.02353
